Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,,,
000261294,10/3/2021,3,October,2021,51,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261295,10/3/2021,3,October,2021,52,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261296,10/4/2021,4,October,2021,21,Youth (<25),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261297,10/4/2021,4,October,2021,53,Adults (35-64),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Black, 58",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261298,10/4/2021,4,October,2021,29,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 48",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261299,10/4/2021,4,October,2021,45,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-750 Black, 52",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261300,10/4/2021,4,October,2021,38,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261301,10/4/2021,4,October,2021,38,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Black, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261302,10/4/2021,4,October,2021,54,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261303,10/5/2021,5,October,2021,30,Young Adults (25-34),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261304,10/5/2021,5,October,2021,40,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Red, 58",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261305,10/5/2021,5,October,2021,47,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 62",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261306,10/6/2021,6,October,2021,30,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261307,10/6/2021,6,October,2021,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261308,10/6/2021,6,October,2021,26,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 46",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261309,10/6/2021,6,October,2021,32,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261310,10/6/2021,6,October,2021,24,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261311,10/6/2021,6,October,2021,26,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261312,10/6/2021,6,October,2021,29,Young Adults (25-34),F,France,Hauts de Seine,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261313,10/7/2021,7,October,2021,43,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 52",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261314,10/7/2021,7,October,2021,32,Young Adults (25-34),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261315,10/7/2021,7,October,2021,36,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 44",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261316,10/7/2021,7,October,2021,46,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261317,10/7/2021,7,October,2021,37,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261318,10/7/2021,7,October,2021,41,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Black, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261319,10/7/2021,7,October,2021,46,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261320,10/8/2021,8,October,2021,35,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 52",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261321,10/8/2021,8,October,2021,41,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261322,10/8/2021,8,October,2021,55,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-350-W Yellow, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261323,10/8/2021,8,October,2021,31,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-250 Black, 44",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261324,10/8/2021,8,October,2021,41,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-250 Black, 48",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261325,10/8/2021,8,October,2021,21,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Black, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261326,10/8/2021,8,October,2021,28,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261327,10/9/2021,9,October,2021,27,Young Adults (25-34),M,France,Loir et Cher,Bikes,Road Bikes,"Road-750 Black, 52",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261328,10/9/2021,9,October,2021,43,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 48",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261329,10/9/2021,9,October,2021,46,Adults (35-64),M,France,Moselle,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261330,10/10/2021,10,October,2021,38,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Black, 52",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261331,10/10/2021,10,October,2021,36,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261332,10/10/2021,10,October,2021,45,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 40",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261333,10/10/2021,10,October,2021,47,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261334,10/11/2021,11,October,2021,37,Adults (35-64),F,Australia,South Australia,Bikes,Road Bikes,"Road-350-W Yellow, 40",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261335,10/11/2021,11,October,2021,44,Adults (35-64),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 42",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261336,10/11/2021,11,October,2021,37,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 38",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261337,10/11/2021,11,October,2021,26,Young Adults (25-34),F,France,Moselle,Bikes,Road Bikes,"Road-750 Black, 58",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261338,10/11/2021,11,October,2021,26,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261339,10/11/2021,11,October,2021,28,Young Adults (25-34),M,Australia,Tasmania,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261340,10/11/2021,11,October,2021,35,Adults (35-64),M,Australia,Tasmania,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261341,10/12/2021,12,October,2021,37,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261342,10/12/2021,12,October,2021,41,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261343,10/12/2021,12,October,2021,37,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261344,10/12/2021,12,October,2021,27,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 48",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261345,10/12/2021,12,October,2021,41,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-650 Black, 52",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261346,10/12/2021,12,October,2021,26,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 58",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261347,10/12/2021,12,October,2021,32,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261348,10/12/2021,12,October,2021,39,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261349,10/12/2021,12,October,2021,44,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 44",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261350,10/12/2021,12,October,2021,45,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 56",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261351,10/12/2021,12,October,2021,53,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Black, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261352,10/12/2021,12,October,2021,57,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-550-W Yellow, 42",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261353,10/13/2021,13,October,2021,40,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Black, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261354,10/13/2021,13,October,2021,50,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Black, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261355,10/13/2021,13,October,2021,18,Youth (<25),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 56",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261356,10/13/2021,13,October,2021,40,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 52",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261357,10/13/2021,13,October,2021,43,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261358,10/13/2021,13,October,2021,32,Young Adults (25-34),M,United States,Oregon,Bikes,Road Bikes,"Road-750 Black, 52",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261359,10/13/2021,13,October,2021,29,Young Adults (25-34),M,Australia,South Australia,Bikes,Road Bikes,"Road-350-W Yellow, 40",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261360,10/13/2021,13,October,2021,30,Young Adults (25-34),M,Germany,Saarland,Bikes,Road Bikes,"Road-650 Red, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261361,10/13/2021,13,October,2021,31,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261362,10/13/2021,13,October,2021,38,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261363,10/13/2021,13,October,2021,45,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-750 Black, 44",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261364,10/13/2021,13,October,2021,47,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261365,10/13/2021,13,October,2021,55,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 44",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261366,10/14/2021,14,October,2021,37,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 38",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261367,10/14/2021,14,October,2021,48,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 38",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261368,10/14/2021,14,October,2021,45,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261369,10/14/2021,14,October,2021,28,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261370,10/14/2021,14,October,2021,31,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261371,10/14/2021,14,October,2021,42,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-650 Red, 62",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261372,10/15/2021,15,October,2021,41,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Black, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261373,10/15/2021,15,October,2021,57,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 52",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261374,10/15/2021,15,October,2021,24,Youth (<25),F,Australia,Tasmania,Bikes,Road Bikes,"Road-550-W Yellow, 48",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261375,10/15/2021,15,October,2021,43,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 62",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261376,10/15/2021,15,October,2021,27,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261377,10/15/2021,15,October,2021,29,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261378,10/16/2021,16,October,2021,46,Adults (35-64),F,France,Val de Marne,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261379,10/16/2021,16,October,2021,47,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-650 Red, 60",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261380,10/16/2021,16,October,2021,36,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 44",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261381,10/16/2021,16,October,2021,42,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-750 Black, 48",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261382,10/16/2021,16,October,2021,47,Adults (35-64),F,United States,Texas,Bikes,Road Bikes,"Road-650 Red, 62",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261383,10/16/2021,16,October,2021,28,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261384,10/16/2021,16,October,2021,38,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 44",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261385,10/16/2021,16,October,2021,46,Adults (35-64),F,Germany,Saarland,Bikes,Road Bikes,"Road-650 Red, 62",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261386,10/16/2021,16,October,2021,50,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261387,10/17/2021,17,October,2021,30,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Black, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261388,10/17/2021,17,October,2021,45,Adults (35-64),F,United States,Washington,Bikes,Road Bikes,"Road-250 Black, 52",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261389,10/17/2021,17,October,2021,33,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-150 Red, 62",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261390,10/17/2021,17,October,2021,26,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 58",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261391,10/17/2021,17,October,2021,27,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261392,10/17/2021,17,October,2021,46,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261393,10/18/2021,18,October,2021,51,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261394,10/18/2021,18,October,2021,27,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261395,10/18/2021,18,October,2021,28,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261396,10/18/2021,18,October,2021,28,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261397,10/18/2021,18,October,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261398,10/18/2021,18,October,2021,46,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261399,10/18/2021,18,October,2021,50,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261400,10/19/2021,19,October,2021,46,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 58",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261401,10/19/2021,19,October,2021,28,Young Adults (25-34),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261402,10/19/2021,19,October,2021,29,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 46",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261403,10/19/2021,19,October,2021,56,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 44",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261404,10/19/2021,19,October,2021,26,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261405,10/19/2021,19,October,2021,41,Adults (35-64),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261406,10/19/2021,19,October,2021,45,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 56",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
